Item_Outlet_Sales,Item_Outlet_Sales_Pred
1636.2440232435586,1838.191471169919
1409.3559100050632,1271.3680308167714
710.594286492863,2284.7029172007897
2355.184955354296,2296.66105261096
5857.916204534556,5107.305066249565
1853.2288274714374,1947.5826975198217
733.5982815649983,1302.5908600334014
2273.4251512914398,2828.1682891321598
1499.740110764301,1250.8683891727255
3203.5823024540387,2809.3483180148305
1901.548072610488,1586.6267314628017
1360.7580862359687,1074.088962634653
744.9346748295271,2661.009903697775
2041.9531209711413,1930.1781714613912
867.4715573077029,428.45496181120006
2414.736770802414,2454.9047224374344
3269.559034829371,2927.6572170583363
3048.980595793892,3534.9278547534914
2713.5056399831124,3252.9930152860998
562.2427628770585,1370.9444660231104
2786.000824164694,2204.5844947214273
3924.856591593203,3321.4982347463515
831.8399058444243,794.8881133438256
318.3393034093429,1377.9654907170657
3121.905998862787,2650.538743610503
580.6462430952778,1943.370264171742
815.210066066413,577.4049500036001
2718.8761891949193,2521.0708677077305
3897.042618535064,3886.4724795853635
1874.316479686572,1683.4519631960616
-96.64385607788105,-407.1523722681608
3049.2841097150063,3673.0256301481613
689.2749655722508,1254.9415548081547
5592.1843098315385,5010.121564006261
2723.229487961744,2313.1348519434796
5413.003000746632,4840.58459001746
2157.518405054785,2709.8558650972536
341.56608398509553,378.9084467084904
3259.495543957221,2748.434575709399
2701.150634462809,3175.783821698775
2015.66384128678,2789.271404848125
341.869597906209,399.31681014225296
2775.0595645795192,2313.266042221625
2022.6334806435598,2835.0330801918326
591.7943178417229,1982.3473091876622
1764.2935128811316,1186.754847373631
26.837140750941266,-925.5561267931275
3177.7046748209114,2658.9954886891464
3951.1893072508337,3537.321539155251
1954.1490453477552,1980.3093000376807
993.7743578580178,923.3244751476534
1695.745791143484,1118.3907990030511
3116.1111737384917,2720.54236715128
1961.6510276290967,1710.4968806909158
5152.941637338897,4532.81788031611
3203.3244491125347,3092.9796513147467
3011.330424896917,2509.421808820981
748.026535153255,70.00509765418292
781.61303776309,3143.839219193682
1384.8268716490309,1334.195592832396
2296.4240484414668,2148.1432522911073
3538.6851884293037,3243.584469410498
3391.35344562084,3768.291744017369
1507.028501908644,1294.293312943268
2338.395926834078,2143.464585874205
2527.468022482457,2947.7489122078377
2822.0121983369627,2346.2611962776564
3926.447828190733,4129.58943320305
3128.5733635347606,2407.1274306907208
3714.888585571875,3264.717595969927
3101.381698758866,2949.414439887263
2824.0270200562445,3221.9650109589984
1742.310662468072,2499.2235086813234
3896.7847651935604,3876.0820654172585
3846.396978390967,3853.404031246384
2723.8518005028845,2598.1387564109045
350.83203146269244,642.8371033462281
2407.492641862576,2240.732531711187
711.0246002225352,2720.4196038725368
2233.1778489977273,1815.9958894836418
2464.255671168301,2231.615854738847
1415.8958322592953,2220.2314891266333
1575.3719271950354,1621.0549388029042
3204.601114597366,2600.7784667350916
3012.927953343545,2631.8347544126327
1665.2587034272349,1638.0516199802898
3779.7910006075813,3738.451492560135
3767.2817947234757,3722.488715423493
839.806041433578,395.3602594220556
684.5650847563459,2083.751897197822
2723.8518005028845,2562.8590883913403
5697.766655316816,4982.797503789378
2824.0270200562445,3200.6849701827405
1380.3753044640896,2031.5146624378604
1889.0611148536968,1447.5759011181142
824.3379235630824,895.1904387373393
2118.48282782194,2002.1519257527589
2022.936994564673,2864.5001937882894
3141.987569706884,2750.0023433771594
1251.0547900323156,818.4974938383345
2195.654258982894,3011.6257892023496
1539.4076875762885,1318.3996961655394
2792.948515531382,2554.2435894539058
1961.6510276290967,2111.154438349994
576.7224699352753,1946.0321809019065
5818.205427527832,5338.517478454272
744.9346748295271,2937.288243357899
940.3849741367379,983.2201798484301
1522.1147036991806,2299.6374143234507
3641.7562553756175,4507.515537179961
416.19865637310386,1135.6689591615118
3266.465183314001,2940.7704343592313
174.76506880608238,-323.992861204291
5857.916204534556,5039.41172808012
1525.3305383844058,1145.1885055818261
2737.256240286872,3234.5801458420815
1001.2763401393596,951.4303464689478
1448.742836761839,1072.0423722591588
1535.7853287508153,1400.438411879353
1782.0942415498623,1641.5763605573154
4780.751863431918,4321.801045414232
718.6450530389003,238.02913759162948
1421.6805076087853,1188.1662432788376
1396.7430511432556,1393.8301239397463
3375.32356731629,3839.3896393007817
5152.941637338897,4552.975633442616
1885.0523303192572,1788.3118015889775
666.4231700233423,1070.5447332472436
1459.0585402382706,2298.4185615470083
1695.745791143484,1317.2568099049683
2801.089570463863,3403.629640821827
1836.46014211643,1440.4650399665295
1663.1420873094162,1551.3941877350796
246.1333094912808,62.80881860723866
1249.4416570523715,1125.2340025820035
370.5338068768895,1374.2884590531567
673.3140641553814,1171.54841377628
1212.5732786786314,1141.0256494725513
276.9231635753997,276.12434404217515
2357.543249824473,1843.1342530854033
479.1034420053524,1623.1866432655409
733.1166746770219,515.3656274005232
1539.1498342347838,1602.341163713613
2001.3260947067447,1794.4228546428703
1445.7492930218475,1308.1841406761505
1844.2024490091242,1804.1774554459607
2454.6696912215657,2184.301406516636
5171.098688034204,4372.529424857135
1697.875662514674,1519.4428476530022
1628.3112965216055,2407.560036338937
1845.468991848592,2023.7026348167976
3816.9917687352972,3692.8176922793064
486.04752870117227,1363.7774637143696
3987.564156263283,3822.339837024291
2504.117951804169,2915.572871471606
2033.111463584676,1443.3762720438237
762.6619643705799,1382.7902589128903
1082.6828067447022,1010.1844537944205
1300.0816635289634,1124.4609790344466
1040.8629904640557,925.3616490146806
2662.3880449566946,2169.763363577022
3218.5545561310437,2582.5212749396196
3858.8460332469813,3235.5761740478156
3164.4078674152747,2933.603723783255
1205.0712963972894,1320.5766673784638
307.3482881710764,194.39277169238903
2371.284391986556,2907.7432828615592
2792.2261409612047,2690.306679510681
2294.9297049339903,2255.957101597858
510.1181863046192,1565.695530344062
3171.051252512465,2823.7152293783593
2662.3880449566946,2298.9598348924583
294.5017456695191,34.15127998429648
-87.28007999492797,-777.2558884076022
2366.6427605524427,2088.0999394187897
3540.6088731007953,4151.290856067051
3202.896727831236,3285.6193694072426
4972.63653605245,4275.439518352755
1337.3517724664146,2141.1660378637935
5882.493911171132,5187.072176552201
1665.2587034272349,1519.4773464916514
3275.004138172744,3498.393435631314
3958.6912895321757,3667.7570571393103
986.8047185012376,613.4138589332396
304.34881644334774,226.2553590076327
1809.6317528109064,1899.459981387734
3320.272533867968,2892.9400814441524
3973.005651691057,3410.6694730418467
3730.458276295049,3609.3033122646048
2832.6235826090297,2400.016227548958
1661.3790799713654,1701.013088833586
3612.3043198927653,4252.449244087016
2366.6427605524427,2342.4048129398507
610.0643035840809,2721.1761238555673
850.4034786915806,612.2665396918458
3864.432744072884,3966.6839685793966
592.5661819978078,2427.349067306998
3273.9671655953434,2720.271247198616
2785.4465332500395,2768.229218641689
-25.432204348825806,-72.07821359864727
3240.812639457025,3413.192464161245
2049.386112793443,2049.991244084272
3203.5823024540387,2776.9980933586576
2521.6523333878235,2214.0733407591597
1698.5409266468698,2518.9200383698003
1860.698191300355,1947.7270876019022
3896.7847651935604,3932.979078239136
1357.553250151024,1172.4204965804836
3328.1138543111133,2964.5895134940874
1858.0818507103995,1896.7348639865425
3050.9510521943707,3203.323785414342
-89.37070279998751,-376.63812757065045
3216.0026642300154,3864.6856540887293
1465.344329771151,1231.6041911466352
3943.941968885476,3357.3304175272033
1954.1490453477552,1875.0915127165358
293.95723676852697,791.7484030978089
5919.447828935327,5383.620949958866
2407.492641862576,2441.491577748701
3860.621043695431,3864.9871903070016
